xcoord, ycoord, zcoord
-2.502869999999820720e+02,-1.084194999999599531e+02,1.000000000000000000e+00
-2.543009999999776483e+02,-1.579344999999739230e+02,1.000000000000000000e+00
-2.571269999999785796e+02,-2.067224999999743886e+02,1.000000000000000000e+00
-2.610649999999732245e+02,-2.561664999999920838e+02,1.000000000000000000e+00
-2.647949999999837019e+02,-3.045204999999841675e+02,1.000000000000000000e+00
-2.710619999999762513e+02,-3.586975000000093132e+02,1.000000000000000000e+00
-2.744949999999953434e+02,-4.096194999999715947e+02,1.000000000000000000e+00
-2.794579999999841675e+02,-4.681134999999776483e+02,1.000000000000000000e+00
-2.832349999999860302e+02,-5.197245000000111759e+02,1.000000000000000000e+00
-2.873029999999853317e+02,-5.704475000000093132e+02,1.000000000000000000e+00
-2.910749999999825377e+02,-6.182324999999837019e+02,1.000000000000000000e+00
-3.237779999999911524e+02,3.256250000000000000e+01,1.000000000000000000e+00
-3.280949999999720603e+02,-2.398849999997764826e+01,1.000000000000000000e+00
-3.319989999999816064e+02,-7.756449999997857958e+01,1.000000000000000000e+00
-3.342329999999783468e+02,-1.306144999999669380e+02,1.000000000000000000e+00
-3.400639999999839347e+02,-1.830725000000093132e+02,1.000000000000000000e+00
-3.437999999999883585e+02,-2.352625000000116415e+02,1.000000000000000000e+00
-3.469849999999860302e+02,-2.858524999999790452e+02,1.000000000000000000e+00
-3.518469999999797437e+02,-3.350864999999757856e+02,1.000000000000000000e+00
-3.536449999999895226e+02,-3.865235000000102445e+02,1.000000000000000000e+00
-3.577519999999785796e+02,-4.373654999999562278e+02,1.000000000000000000e+00
-3.793429999999934807e+02,2.482150000002002344e+01,1.000000000000000000e+00
-3.849419999999809079e+02,-2.278049999999348074e+01,1.000000000000000000e+00
-3.911399999999848660e+02,-7.481349999998928979e+01,1.000000000000000000e+00
-3.945809999999764841e+02,-1.289805000000051223e+02,1.000000000000000000e+00
-3.997619999999878928e+02,-1.804304999999585561e+02,1.000000000000000000e+00
-4.109289999999746215e+02,-1.919205000000074506e+02,1.000000000000000000e+00
-3.943169999999809079e+02,-2.253634999999776483e+02,1.000000000000000000e+00
-3.975439999999944121e+02,-2.749594999999972060e+02,1.000000000000000000e+00
-4.387759999999834690e+02,-3.136514999999781139e+02,1.000000000000000000e+00
-4.305769999999902211e+02,-3.653254999999771826e+02,1.000000000000000000e+00
-4.239629999999888241e+02,-3.981524999999674037e+02,1.000000000000000000e+00
-4.743199999999778811e+02,-3.641949999995995313e+01,-9.000000000000000000e+00
-4.684759999999951106e+02,-1.125084999999962747e+02,-9.000000000000000000e+00
2.225110000000277068e+02,3.759195000000181608e+02,1.000000000000000000e+00
2.773690000000060536e+02,3.659575000000186265e+02,1.000000000000000000e+00
3.760340000000142027e+02,4.407435000000405125e+02,1.000000000000000000e+00
4.797190000000118744e+02,5.144245000000228174e+02,1.000000000000000000e+00
3.292660000000323635e+02,4.780545000000274740e+02,1.000000000000000000e+00
2.786860000000160653e+02,5.863825000000069849e+02,1.000000000000000000e+00
4.048160000000207219e+02,6.296975000000093132e+02,1.000000000000000000e+00
3.674620000000286382e+02,5.465825000000186265e+02,1.000000000000000000e+00
5.667890000000188593e+02,6.372505000000237487e+02,1.000000000000000000e+00
5.729470000000146683e+02,5.771965000000200234e+02,1.000000000000000000e+00
3.495850000000209548e+02,7.533674999999930151e+02,1.000000000000000000e+00
4.916560000000172295e+02,7.150055000000284053e+02,1.000000000000000000e+00
3.634580000000132713e+02,9.137625000000116415e+02,-9.000000000000000000e+00
4.698390000000072177e+02,8.525925000000279397e+02,1.000000000000000000e+00
5.635620000000053551e+02,7.997625000000116415e+02,1.000000000000000000e+00
6.731200000000244472e+02,7.378724999999976717e+02,1.000000000000000000e+00
2.262250000000058208e+02,9.067515000000130385e+02,-9.000000000000000000e+00
1.099050000000279397e+02,8.465055000000284053e+02,1.000000000000000000e+00
-2.017799999998533167e+01,8.124175000000395812e+02,-9.000000000000000000e+00
4.396870000000053551e+02,1.088606499999994412e+03,-9.000000000000000000e+00
4.321390000000246800e+02,1.219022500000020955e+03,-9.000000000000000000e+00
4.300870000000286382e+02,1.365906500000040978e+03,-9.000000000000000000e+00
2.812000000000116415e+02,1.362808500000042841e+03,-9.000000000000000000e+00
5.632260000000242144e+02,1.218007500000006985e+03,-9.000000000000000000e+00
2.885940000000118744e+02,1.210448499999998603e+03,-9.000000000000000000e+00
1.223870000000169966e+02,1.228571500000020023e+03,-9.000000000000000000e+00
5.957350000000151340e+02,1.037247499999997672e+03,-9.000000000000000000e+00
6.947110000000102445e+02,9.460925000000279397e+02,1.000000000000000000e+00
